cross_street,direction,lat,lon,municipality,name,phase,source,stage1,stage2,status,stop_id,street,lat_orig,lon_orig,move_distance_m,kept
Wyman Rd,,43.50503496,-80.53733199,Waterloo,King St N at Wyman Rd,,GRT,,,Active,11142,King St N,43.50503496,-80.53733199,0.0,1
Stop 3908,,43.435156892822576,-80.56044129025103,Kitchener,The Boardwalk Station at Stop 3908,,GRT,,,Active,12978,The Boardwalk Station,43.435158,-80.560441,0.12532336313458448,1
202 Erb St W,,43.46037481505538,-80.53573096483113,Waterloo,Erb St W at 202 Erb St W,,GRT,,,Active,11001,Erb St W,43.46017996,-80.53514295,52.17121713849281,1
Glasgow St,,43.44937691,-80.52360179,Kitchener,Westmount Rd W at Glasgow St,,GRT,,,Active,12983,Westmount Rd W,43.44937691,-80.52360179,0.0,1
Westmount Rd W,,43.435665,-80.514513,Kitchener,Highland Rd W at Westmount Rd W,,GRT,,,Active,12453,Highland Rd W,43.435665,-80.514513,0.0,1
John St,,43.454348252211894,-80.5276572421113,Waterloo,Westmount Rd S at John St,,GRT,,,Active,11740,Westmount Rd S,43.45434699,-80.52765996,0.2604387562386981,1
Wes Graham Way,,43.47897002,-80.54902203,Waterloo,Hagey Blvd at Wes Graham Way,,GRT,,,Active,13020,Hagey Blvd,43.47897002,-80.54902203,0.0,1
Blue Springs Dr,,43.48749326165691,-80.52737852748446,Waterloo,King St N at Blue Springs Dr,,GRT,,,Active,11560,King St N,43.48753303,-80.52745202,7.396434342579396,1
ION platform - Northbound,,43.456318110772514,-80.51175474035274,Kitchener,Grand River Hospital Station at ION platform - Northbound,,GRT,,,Active,13387,Grand River Hospital Station,43.457299,-80.512034,111.37469982812365,1
Willis Way,,43.462147,-80.523193,Waterloo,Caroline St S at Willis Way,,GRT,,,Active,10996,Caroline St S,43.462147,-80.523193,0.0,1
Westvale Dr,,43.440893,-80.54878,Waterloo,University Ave W at Westvale Dr,,GRT,,,Active,12933,University Ave W,43.440893,-80.54878,0.0,1
Caroline St,,43.46413999107679,-80.52599913516833,Waterloo,Erb St W at Caroline St,,GRT,,,Active,10997,Erb St W,43.46413998,-80.52599698,0.17393903049983994,1
Northfield Dr W,,43.496888,-80.545815,Waterloo,Parkside Dr at Northfield Dr W,,GRT,,,Active,12793,Parkside Dr,43.496888,-80.545815,0.0,1
