source,stop_id,name,street,cross_street,municipality,status,lon,lat
GRT,10379,Dunbar Rd at Conestoga Pky,Dunbar Rd,Conestoga Pky,Cambridge,Active,-80.314832,43.39138
GRT,13429,Victoria St N at Margaret Ave,Victoria St N,Margaret Ave,Kitchener,Active,-80.489186,43.456228
GRT,11423,Krug St at Krug Centre,Krug St,Krug Centre,Kitchener,Active,-80.46108703,43.45723501
GRT,13383,Willis Way Station at ION platform - Southbound,Willis Way Station,ION platform - Southbound,Waterloo,Active,-80.523369,43.462149
GRT,12047,Wilderness Dr at Mountain Mint Cres,Wilderness Dr,Mountain Mint Cres,Kitchener,Active,-80.51386998,43.41073303
GRT,11022,Erb St W at Gateview Dr,Erb St W,Gateview Dr,Waterloo,Active,-80.557832,43.450834
GRT,10999,Erb St W at Avondale Ave N,Erb St W,Avondale Ave N,Waterloo,Active,-80.53031996,43.46226
GRT,13493,Old Zeller Dr at Pebblecreek Dr,Old Zeller Dr,Pebblecreek Dr,Kitchener,Active,-80.40668,43.451058
GRT,11596,King St W at Kitchener Collegiate Institute,King St W,Kitchener Collegiate Institute,Kitchener,Active,-80.508273,43.455955
GRT,12396,Driftwood Dr at Westheights Dr,Driftwood Dr,Westheights Dr,Kitchener,Active,-80.53895796,43.41911796
GRT,11682,Franklin St N at Kenneth Ave,Franklin St N,Kenneth Ave,Kitchener,Active,-80.44684299,43.44123298
GRT,11844,University Ave E at Marsland Dr,University Ave E,Marsland Dr,Waterloo,Active,-80.51619803,43.47930199
GRT,10769,Pinnacle Dr at Amherst Dr,Pinnacle Dr,Amherst Dr,Kitchener,Active,-80.41475198,43.39140314
GRT,10045,Fairway Rd S at King St E,Fairway Rd S,King St E,Kitchener,Active,-80.43288195,43.42754698
GRT,13721,The Boardwalk at Medical Centre,The Boardwalk,Medical Centre,Waterloo,Active,-80.565481,43.440242
GRT,11073,University Ave E at Lexington Rd,University Ave E,Lexington Rd,Waterloo,Active,-80.49658195,43.50459499
GRT,13894,Thomas Slee Dr at Robert Ferrie Dr,Thomas Slee Dr,Robert Ferrie Dr,Kitchener,Active,-80.42493174,43.37596574
GRT,13244,Westvale Dr at Heather Hill Pl,Westvale Dr,Heather Hill Pl,Waterloo,Active,-80.55822,43.448411
GRT,11664,Montgomery Rd at Weber St E,Montgomery Rd,Weber St E,Kitchener,Detour,-80.45833704,43.43805699
GRT,11342,Champlain Blvd at Franklin Blvd,Champlain Blvd,Franklin Blvd,Cambridge,Active,-80.28942798,43.34849698
GRT,12014,Activa Ave at Donnenwerth Dr,Activa Ave,Donnenwerth Dr,Kitchener,Active,-80.50979696,43.40307703
GRT,13689,Stonecroft Way at Amberdale Way (Flex Stop),Stonecroft Way,Amberdale Way (Flex Stop),Wilmot,Active,-80.700522,43.366374
GRT,13388,Grand River Hospital Station at ION platform - Southbound,Grand River Hospital Station,ION platform - Southbound,Kitchener,Active,-80.51207,43.457268
GRT,10621,King St E at Concession St,King St E,Concession St,Cambridge,Active,-80.34234296,43.38768997
GRT,11475,Lancaster St W at Hamel Ave,Lancaster St W,Hamel Ave,Kitchener,Active,-80.484337,43.47525999
GRT,13532,Bingemans Centre Dr at Victoria St N,Bingemans Centre Dr,Victoria St N,Kitchener,Active,-80.441375,43.472313
GRT,10960,Eastbridge Blvd at Eastbridge Green,Eastbridge Blvd,Eastbridge Green,Waterloo,Active,-80.505641,43.504478
GRT,11497,Lancaster St W at Hill St,Lancaster St W,Hill St,Kitchener,Active,-80.484247,43.46411999
GRT,11303,Grand Ridge Dr at St Andrews St,Grand Ridge Dr,St Andrews St,Cambridge,Active,-80.33413504,43.34073796
GRT,11479,Bridge St E at Schweitzer St,Bridge St E,Schweitzer St,Kitchener,Active,-80.47419495,43.47895299
GRT,10986,Bridgeport Rd E at Ellis Cres,Bridgeport Rd E,Ellis Cres,Waterloo,Active,-80.50802498,43.47163796
GRT,10545,Ainslie Terminal at Stop 1517,Ainslie Terminal,Stop 1517,Cambridge,Active,-80.31274996,43.35758104
GRT,11989,Mill St at Borden Pky,Mill St,Borden Pky,Kitchener,Active,-80.48289998,43.43506797
GRT,10160,Albert St at Weber St N,Albert St,Weber St N,Waterloo,Active,-80.537553,43.49155504
GRT,13914,Block Line Rd at Country Hill Dr,Block Line Rd,Country Hill Dr,Kitchener,Active,-80.47626195,43.41715201
GRT,13593,Hespeler Rd at Eagle,Hespeler Rd,Eagle,Cambridge,Active,-80.328043,43.407203
GRT,13077,University Ave E at Pastern Trail,University Ave E,Pastern Trail,Waterloo,Active,-80.49095745,43.49194633
GRT,12357,Queens Blvd at Highland Rd W,Queens Blvd,Highland Rd W,Kitchener,Active,-80.49881797,43.44038202
GRT,10690,Morgan Ave at Southill Dr,Morgan Ave,Southill Dr,Kitchener,Active,-80.42760729,43.42821803
